address,place,city,state
3429 EASTERN AVE.,HIGHLANDTOWN,Baltimore,MD
1138 HOLLINS ST.,HOLLINS MARKET,Baltimore,MD
4251 HARFORD RD.,LAURAVILLE,Baltimore,MD
3133 GREENMOUNT AVE.,WAVERLY,Baltimore,MD
2313 NORTH AVE.,BROADWAY EAST,Baltimore,MD
330 N HOWARD ST.,DOWNTOWN,Baltimore,MD
911 W 36TH ST.,HAMPDEN,Baltimore,MD
1624 EUTAW PL.,BOLTON HILL,Baltimore,MD
6920 HOLABIRD AVE,DUNDALK,Baltimore,MD
1201 Cambria St, BENJAMIN FRANKLIN HIGH SCHOOL BROOKLYN,BROOKLYN,MD
4600 Falls Rd, WESTERN HIGH SCHOOL CROSS KEYS,Baltimore,MD
6900 Park Heights Av, NORTHWESTERN HIGH SCHOOL FALLSTAFF,Baltimore,MD
5724 BELAIR ROAD,GLENHAM BELHAR,Baltimore,MD
4001 CLIFTON AVE,GWYNNS FALLS LEAKIN PARK,Baltimore,MD
4019 FREDERICK AVE,IRVINGTON,Baltimore,MD
3901 Maine AV,LIBERTY ELEMENTARY SCHOOL FORREST PARK,Baltimore,MD
5001 E Eager St, ARMISTEAD GARDENS SCHOOL ARMISTEAD GARDENS,Baltimore,MD
5857 YORK RD,BELVEDERE,Baltimore,MD
